Notification,Description,In-App,Email
,,FALSE,FALSE
Provider,,,
Encounter created for you,When a new patient encounter is created on your behalf.,TRUE,TRUE
Encounter needs review,When a completed note is ready for your final review and signature.,TRUE,TRUE
Encounter sent back from revision,When an encounter note from revision is returned to you for review and signature.,TRUE,TRUE
Billing rejection alerts,When coding or billing issues are flagged on your charts.,TRUE,FALSE
Patient scheduled to you,When a new patient appointment is added to your upcoming schedule.,TRUE,FALSE
There is a missed regulatory visit,When a required regulatory compliance visit for a patient is missed.,TRUE,TRUE
Your shift has been modified,When there are changes or updates to your work schedule.,TRUE,TRUE
Medical document was assigned to you,"When a document (e.g., referral, intake form) is routed to you for review.",TRUE,FALSE
There is a discharge request,When a patient is ready for discharge and requires approval.,FALSE,FALSE
E-Prescribe order was successful,When your electronic prescription is successfully transmitted to the pharmacy.,TRUE,FALSE
E-Prescribe order was voided,When an electronic prescription order is cancelled or fails to transmit.,TRUE,FALSE
A new flagged vitals appear,When a patient records abnormal or critical vital signs.,TRUE,TRUE
Requested Laboratory has arrived,When the results for a lab test you ordered are now available.,TRUE,FALSE
A new High Risk RTH patient was added,When a patient designated as High Risk Return to Hospital is added to your list.,TRUE,TRUE
You are assigned to a facility,When you are officially rostered or given access to a new clinical facility.,TRUE,FALSE
Login to a new device was detected,When your account is accessed from an unrecognized device or browser.,TRUE,TRUE
Password was changed,When your account password has been successfully updated.,TRUE,TRUE
System alerts & updates,"Portal maintenance, feature updates, and general alerts.",TRUE,FALSE
,,FALSE,FALSE
Lead Scribe,,,
Encounter was returned to queue,When an Encounter you assigned was returned to queue.,TRUE,FALSE
New Encounter assigned,When a new patient encounter is assigned to you.,TRUE,TRUE
Note returned for Revision,When a provider requests edits to a completed note.,TRUE,TRUE
Provider signed note,When your drafted note is finalized and signed.,TRUE,TRUE
Billing rejection alerts,When coding or billing issues are flagged on your charts.,TRUE,FALSE
You are assigned to a facility,When you are officially rostered or given access to a new clinical facility.,TRUE,FALSE
Login to a new device was detected,When your account is accessed from an unrecognized device or browser.,TRUE,TRUE
Password was changed,When your account password has been successfully updated.,TRUE,TRUE
System alerts & updates,"Portal maintenance, feature updates, and general alerts.",TRUE,FALSE
,,FALSE,FALSE
Scribe,,,
New Encounter assigned,When a new patient encounter is assigned to you.,TRUE,TRUE
Note returned for Revision,When a provider requests edits to a completed note.,TRUE,TRUE
Provider signed note,When your drafted note is finalized and signed.,TRUE,TRUE
Billing rejection alerts,When coding or billing issues are flagged on your charts.,TRUE,FALSE
You are assigned to a facility,When you are officially rostered or given access to a new clinical facility.,TRUE,FALSE
Login to a new device was detected,When your account is accessed from an unrecognized device or browser.,TRUE,TRUE
Password was changed,When your account password has been successfully updated.,TRUE,TRUE
System alerts & updates,"Portal maintenance, feature updates, and general alerts.",TRUE,FALSE
,,FALSE,FALSE
Clerk,,,
Encounter was returned to queue,When an Encounter you assigned was returned to queue.,TRUE,TRUE
A new medical document has arrived,When a new medical document has arrived and needs to be identified.,TRUE,TRUE
There is a discharge request,When a patient is ready for discharge and requires approval.,TRUE,TRUE
You are assigned to a facility,When you are officially rostered or given access to a new clinical facility.,TRUE,FALSE
Login to a new device was detected,When your account is accessed from an unrecognized device or browser.,TRUE,TRUE
Password was changed,When your account password has been successfully updated.,TRUE,TRUE
System alerts & updates,"Portal maintenance, feature updates, and general alerts.",TRUE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
,,FALSE,FALSE
